target_id	length	eff_length	est_counts	tpm
uc010tkp.2	981	832	0	0
uc001vuz.1	31578	31429	0	0
uc001vva.1	31578	31429	0	0
uc010ahc.1	31578	31429	0	0
uc021rmy.1	41	41	0	0
uc021rmz.1	30	30	0	0
uc001vvd.3	32	32	0	0
uc021rna.1	28	28	0	0
uc021rnb.1	37	37	0	0
uc021rnd.1	37	37	0	0
uc021rne.1	41	41	0	0
uc021rnf.1	30	30	0	0
uc010tkq.2	32	32	0	0
uc021rng.1	28	28	0	0
uc021rnh.1	28	28	0	0
uc001vvf.2	40	40	0	0
uc001vvh.3	32	32	0	0
uc001vvi.3	34158	34009	0	0
uc001vvk.1	34259	34110	0	0
uc001vvl.4	42885	42736	2206.9	476.273
uc021rnj.1	69004	68855	444.552	59.5463
uc001vvn.3	1387	1238	0	0
uc001vvt.3	10204	10055	0	0
uc001vwd.3	4044	3895	0	0
uc010tkt.2	942	793	0	0
uc010tku.2	942	793	0	0
uc010tkv.2	924	775	0	0
uc001vwh.1	945	796	0	0
uc010tkw.2	972	823	0	0
uc001vwj.2	1076	927	0	0
uc010tkx.2	1047	898	0	0
uc001vwn.1	939	790	0	0
uc001vwo.1	1032	883	0	0
uc010tla.2	927	778	0	0
uc010tlb.2	1038	889	0	0
uc010tlc.2	993	844	0	0
uc010tld.2	975	826	0	0
uc001vxb.1	14290	14141	247.606	161.491
uc001vxc.3	14291	14142	231.649	151.073
uc001vxd.3	14291	14142	231.649	151.073
uc010tle.2	3310	3161	268.096	782.228
uc001vxg.3	2642	2493	1428	5282.92
uc001vxh.3	2642	2493	1428	5282.92
uc001vxi.3	2642	2493	1428	5282.92
uc021rnr.1	2642	2493	1428	5282.92
uc010ahm.2	3822	3673	0	0
uc010ahn.3	5785	5636	1559.52	2552.04
uc001vxo.4	8628	8479	0	0
uc021rns.1	3246	3097	3840.48	11437
uc001vxp.2	5619	5470	0	0
uc010tlj.2	651	502	0	0
uc001vxu.1	16736	16587	0	0
uc021rnw.1	82	82	0	0
uc021rnz.1	82	82	0	0
uc021rob.1	72	72	0	0
uc021roh.1	73	73	0	0
uc021roi.1	89	89	0	0
uc021roj.1	72	72	0	0
uc001vxw.4	10010	9861	28.5268	26.6809
uc001vxx.4	16423	16274	17.2901	9.79877
uc001vxy.4	16423	16274	17.2901	9.79877
uc001vxz.3	5414	5265	0	0
uc001vya.3	11827	11678	0	0
uc021rok.1	444	295	50.5198	1579.45
uc021rol.1	444	295	14.3732	449.364
uc001vyc.3	2441	2292	0	0
uc021rom.1	444	295	0	0
uc001vyd.3	2522	2373	0	0
uc021ron.1	444	295	0	0
uc001vye.4	1417	1268	0	0
uc021roo.1	453	304	0	0
uc001vyj.3	946	797	0	0
uc021roq.1	483	334	0	0
uc021ror.1	836	687	0	0
uc010aif.2	37095	36946	1	0.249632
uc001vyl.1	965	816	0	0
uc021ros.1	486	337	0	0
uc010tlk.2	3311	3162	0	0
uc001vym.3	7225	7076	1092.63	1424.14
uc001vyn.3	7230	7081	561.687	731.589
uc001vyo.3	7230	7081	561.687	731.589
uc001vyr.3	2621	2472	1	3.73095
uc001vys.4	2621	2472	1	3.73095
uc001vzh.3	1988	1839	0	0
uc001vzk.4	2008	1859	0	0
uc001vzl.2	2009	1860	0	0
uc021rou.1	471	322	0	0
uc010tlm.2	465	316	0	0
uc001vzn.1	5186	5037	0	0
uc001vzo.1	16539	16390	0	0
uc001vzp.3	19510	19361	111	52.8765
uc010aij.3	19510	19361	111	52.8765
uc010tln.2	19510	19361	111	52.8765
uc010tlo.2	4788	4639	61.4477	122.166
uc001wag.3	63325	63176	3.51495	0.513139
uc001wah.3	33748	33599	0	0
uc001wai.3	33748	33599	0	0
uc001waj.1	3812	3663	0	0
uc001wak.3	30043	29894	0	0
uc010aim.3	29943	29794	0	0
uc001wal.3	29448	29299	0	0
uc001wam.3	27378	27229	0.485047	0.164293
uc001way.3	19037	18888	318.807	155.671
uc001waz.3	21985	21836	5.57481e-06	2.35464e-06
uc010tlu.2	21985	21836	5.57481e-06	2.35464e-06
uc010tlv.2	11575	11426	1450.81	1171.07
uc001wbi.2	711	562	0	0
uc001wbk.3	698	549	0	0
uc010tmd.2	942	793	0	0
uc021roz.1	520	371	0	0
uc001wbn.3	561	412	0	0
uc021rpa.1	255349	255200	1.00344	0.0362641
uc021rpb.1	159	10	0	0
uc001wbp.2	810	661	0	0
uc010aip.1	13535	13386	0	0
uc021rpc.1	244	95	0	0
uc010aiq.1	592	443	0	0
uc001wbt.1	585	436	0	0
uc021rpd.1	309	160	0	0
uc010air.1	594	445	0	0
uc001wbv.3	117	117	0	0
uc010ais.1	588	439	0	0
uc001wbw.2	725946	725797	0	0
uc001wbx.2	635	486	0	0
uc001wbz.1	681	532	0	0
uc010ait.1	681	532	0	0
uc021rpe.1	219473	219324	0	0
uc001wcb.2	647	498	0	0
uc001wcc.3	3761	3612	0	0
uc021rpf.1	276	127	0	0
uc021rpg.1	396747	396598	0	0
uc021rph.1	648	499	0	0
uc010aiv.1	389875	389726	0	0
uc021rpi.1	245	96	0	0
uc021rpj.2	172012	171863	0	0
uc010aiy.2	577	428	0	0
uc001wch.2	578	429	0	0
uc010aiz.2	588	439	0	0
uc021rpk.1	248	99	0	0
uc001wck.3	527	378	0	0
uc021rpl.1	538598	538449	0	0
uc021rpm.1	594	445	0	0
uc010tmm.2	87855	87706	0	0
uc010tmo.2	508219	508070	0	0
uc001wcq.3	8442	8293	0	0
uc001wco.3	558067	557918	0	0
uc010ajd.1	5004	4855	0	0
uc010aje.1	550895	550746	0	0
uc001wcp.2	550824	550675	0	0
uc001wcr.1	550597	550448	0	0
uc001wcs.1	550597	550448	0	0
uc010ajf.1	550597	550448	0	0
uc001wct.4	5069	4920	0	0
uc001wcu.4	476295	476146	0	0
uc021rpn.1	476295	476146	0	0
uc021rpo.1	554	405	0	0
uc021rpp.1	277	128	0	0
uc001wcx.4	500362	500213	0	0
uc001wcy.3	562	413	0	0
uc021rpq.1	256	107	0	0
uc001wcz.2	570	421	0	0
uc021rpr.1	461793	461644	0	0
